[2022-08-13 23:26:05,515][datasets.builder][WARNING] - Using custom data configuration default
[2022-08-13 23:26:06,207][datasets.builder][WARNING] - Using custom data configuration default
[2022-08-13 23:26:06,212][datasets.builder][WARNING] - Reusing dataset xsum (/Users/congliu/.cache/huggingface/datasets/xsum/default/1.2.0/32c23220eadddb1149b16ed2e9430a05293768cfffbdfd151058697d4c11f934)
[2022-08-13 23:26:06,699][datasets.builder][WARNING] - Using custom data configuration default
[2022-08-13 23:26:06,706][datasets.builder][WARNING] - Reusing dataset xsum (/Users/congliu/.cache/huggingface/datasets/xsum/default/1.2.0/32c23220eadddb1149b16ed2e9430a05293768cfffbdfd151058697d4c11f934)
[2022-08-13 23:26:07,167][datasets.builder][WARNING] - Using custom data configuration default
[2022-08-13 23:26:07,171][datasets.builder][WARNING] - Reusing dataset xsum (/Users/congliu/.cache/huggingface/datasets/xsum/default/1.2.0/32c23220eadddb1149b16ed2e9430a05293768cfffbdfd151058697d4c11f934)
[2022-08-13 23:27:24,365][datasets.builder][WARNING] - Using custom data configuration default
[2022-08-13 23:27:24,875][datasets.builder][WARNING] - Using custom data configuration default
[2022-08-13 23:27:24,881][datasets.builder][WARNING] - Reusing dataset xsum (/Users/congliu/.cache/huggingface/datasets/xsum/default/1.2.0/32c23220eadddb1149b16ed2e9430a05293768cfffbdfd151058697d4c11f934)
[2022-08-13 23:27:25,333][datasets.builder][WARNING] - Using custom data configuration default
[2022-08-13 23:27:25,339][datasets.builder][WARNING] - Reusing dataset xsum (/Users/congliu/.cache/huggingface/datasets/xsum/default/1.2.0/32c23220eadddb1149b16ed2e9430a05293768cfffbdfd151058697d4c11f934)
[2022-08-13 23:27:25,789][datasets.builder][WARNING] - Using custom data configuration default
[2022-08-13 23:27:25,795][datasets.builder][WARNING] - Reusing dataset xsum (/Users/congliu/.cache/huggingface/datasets/xsum/default/1.2.0/32c23220eadddb1149b16ed2e9430a05293768cfffbdfd151058697d4c11f934)
[2022-08-14 22:47:58,823][datasets.builder][WARNING] - Using custom data configuration default
[2022-08-14 22:47:59,378][datasets.builder][WARNING] - Using custom data configuration default
[2022-08-14 22:47:59,387][datasets.builder][WARNING] - Reusing dataset xsum (/Users/congliu/.cache/huggingface/datasets/xsum/default/1.2.0/32c23220eadddb1149b16ed2e9430a05293768cfffbdfd151058697d4c11f934)
[2022-08-14 22:47:59,871][datasets.builder][WARNING] - Using custom data configuration default
[2022-08-14 22:47:59,878][datasets.builder][WARNING] - Reusing dataset xsum (/Users/congliu/.cache/huggingface/datasets/xsum/default/1.2.0/32c23220eadddb1149b16ed2e9430a05293768cfffbdfd151058697d4c11f934)
[2022-08-14 22:48:00,337][datasets.builder][WARNING] - Using custom data configuration default
[2022-08-14 22:48:00,341][datasets.builder][WARNING] - Reusing dataset xsum (/Users/congliu/.cache/huggingface/datasets/xsum/default/1.2.0/32c23220eadddb1149b16ed2e9430a05293768cfffbdfd151058697d4c11f934)
[2022-08-14 22:51:01,606][datasets.builder][WARNING] - Using custom data configuration default
[2022-08-14 22:51:02,152][datasets.builder][WARNING] - Using custom data configuration default
[2022-08-14 22:51:02,160][datasets.builder][WARNING] - Reusing dataset xsum (/Users/congliu/.cache/huggingface/datasets/xsum/default/1.2.0/32c23220eadddb1149b16ed2e9430a05293768cfffbdfd151058697d4c11f934)
[2022-08-14 22:51:02,643][datasets.builder][WARNING] - Using custom data configuration default
[2022-08-14 22:51:02,651][datasets.builder][WARNING] - Reusing dataset xsum (/Users/congliu/.cache/huggingface/datasets/xsum/default/1.2.0/32c23220eadddb1149b16ed2e9430a05293768cfffbdfd151058697d4c11f934)
[2022-08-14 22:51:03,133][datasets.builder][WARNING] - Using custom data configuration default
[2022-08-14 22:51:03,142][datasets.builder][WARNING] - Reusing dataset xsum (/Users/congliu/.cache/huggingface/datasets/xsum/default/1.2.0/32c23220eadddb1149b16ed2e9430a05293768cfffbdfd151058697d4c11f934)
[2022-08-14 22:53:13,268][datasets.builder][WARNING] - Using custom data configuration default
[2022-08-14 22:53:13,767][datasets.builder][WARNING] - Using custom data configuration default
